"Date","Price","Open","High","Low","Vol.","Change %"
"11/25/2024","22,620.33","22,844.70","22,856.40","22,563.98","","0.06%"
"11/22/2024","22,606.09","22,592.47","22,656.10","22,298.29","","0.58%"
"11/21/2024","22,476.18","22,388.56","22,508.22","22,220.34","","0.21%"
"11/20/2024","22,429.84","22,661.29","22,685.16","22,398.58","","-0.43%"
"11/19/2024","22,527.04","22,707.21","22,749.98","22,232.69","","-0.67%"
"11/18/2024","22,678.45","22,666.50","22,714.42","22,542.47","","0.12%"
"11/15/2024","22,651.63","22,610.98","22,807.13","22,548.35","","-0.58%"
"11/14/2024","22,783.05","22,584.01","22,805.75","22,497.15","","1.32%"
"11/13/2024","22,487.11","22,489.18","22,610.65","22,304.58","","-0.14%"
"11/12/2024","22,518.76","22,891.85","22,949.67","22,490.08","","-2.69%"
"11/11/2024","23,141.64","23,042.56","23,221.77","23,019.00","","1.21%"
"11/08/2024","22,865.42","23,181.52","23,184.09","22,839.06","","-1.17%"
"11/07/2024","23,136.26","22,972.96","23,212.29","22,914.04","","0.76%"
"11/06/2024","22,961.82","23,194.76","23,592.84","22,864.43","","-0.51%"
"11/05/2024","23,078.77","22,986.65","23,102.68","22,900.71","","0.48%"
"11/04/2024","22,968.37","23,013.87","23,199.69","22,968.37","","-0.50%"
"11/01/2024","23,084.89","22,944.59","23,163.26","22,926.26","","0.80%"
"10/31/2024","22,901.87","23,006.95","23,035.49","22,794.70","","-1.05%"
"10/30/2024","23,144.86","23,218.83","23,276.75","22,986.05","","-1.10%"
"10/29/2024","23,402.70","23,660.53","23,736.72","23,388.41","","-0.61%"
"10/28/2024","23,545.50","23,499.35","23,619.47","23,352.29","","0.79%"
"10/25/2024","23,360.43","23,336.51","23,426.51","23,241.61","","-0.08%"
"10/24/2024","23,378.29","23,454.20","23,571.81","23,377.50","","0.08%"
"10/23/2024","23,360.24","23,347.04","23,507.35","23,270.18","","-0.50%"
